,station_name,counts for station_name,lat,lng
103,Bryant St at 15th St,12082,37.7671004,-122.410662
104,Cyril Magnin St at Ellis St,12025,37.7858806269,-122.4089150084
105,18th St at Noe St,11772,37.7610471,-122.4326417
106,San Jose Diridon Station,11545,37.329732,-121.901782
107,20th St at Bryant St,11498,37.7592005,-122.409851
108,Webster St at Grove St,11283,37.7770527,-122.4295585
109,Folsom St at 15th St,11241,37.7670373,-122.4154425
110,Dolores St at 15th St,11055,37.7662102,-122.4266136
111,Page St at Scott St,10833,37.772406,-122.4356498
112,Mission Bay Kids Park,10827,37.7723006317,-122.393027544
113,Berkeley Civic Center,10782,37.8690599,-122.270556
114,Lakeside Dr at 14th St,10637,37.8013189,-122.2626418
115,Grove St at Divisadero,10618,37.775946,-122.4377775
116,19th St at Florida St,10563,37.7604469,-122.410807
117,Haste St at Telegraph Ave,10475,37.8660431,-122.2588044
118,29th St at Tiffany Ave,10320,37.7440667,-122.4214722
119,San Fernando at 7th St,10270,37.337246,-121.8830739
120,16th St Mission BART,10176,37.7647100858,-122.4199569225
121,Church St at Duboce Ave,9993,37.7700831,-122.4291557
122,San Bruno Ave at 16th St,9950,37.7660077427,-122.4056768417
123,17th & Folsom Street Park (17th St at Folsom St),9710,37.7637085,-122.4152042
124,Raymond Kimbell Playground,9448,37.7838127093,-122.4345588684
125,Pierce St at Haight St,9425,37.7717933,-122.4337079
126,Ryland Park,9423,37.342725,-121.895617
127,17th St at Dolores St,9375,37.7630152,-122.4264968
128,Precita Park,9347,37.7472996,-122.4114029
129,Hubbell St at 16th St,9313,37.7664742152,-122.3982954025
130,Broderick St at Oak St,9188,37.7730627,-122.4390777
131,Broadway at 40th St,9113,37.8277573,-122.2567156
132,Telegraph Ave at 27th St,9091,37.816073115,-122.2678864002
133,McAllister St at Baker St,8966,37.7774157,-122.4418376
134,Telegraph Ave at 23rd St,8824,37.8126783,-122.2687726
135,San Salvador St at 9th St,8763,37.333955,-121.877349
136,Webster St at 2nd St,8662,37.7951947644,-122.2739696503
137,5th St at Howard St,8625,37.781752,-122.405127
138,Hearst Ave at Euclid Ave,8577,37.8751116929,-122.2605532408
139,Grand Ave at Santa Clara Ave,8570,37.8127441,-122.2472152
140,MLK Jr Way at University Ave,8476,37.8717192,-122.2730677
141,29th St at Church St,8415,37.7436839,-122.4268059
142,Fulton St at Bancroft Way,8383,37.8677892,-122.2658964
143,University Ave at Oxford St,8305,37.8723555,-122.2664467
144,Broadway at 30th St,8262,37.8193814,-122.2619284
145,Derby St at College Ave,8175,37.8618037,-122.2535687
146,Oregon St at Adeline St,8104,37.8575672,-122.2675583
147,Father Alfred E Boeddeker Park,7925,37.7839879,-122.412408
148,16th St at Prosper St,7832,37.764285,-122.4318042
149,Addison St at Fourth St,7816,37.866249,-122.2993708
150,10th St at Fallon St,7804,37.7976728,-122.2629973
151,Irwin St at 8th St,7703,37.7668828,-122.3995794
152,Telegraph Ave at Ashby Ave,7601,37.8559558,-122.2597949
153,Russell St at College Ave,7480,37.8584732,-122.2532529
154,Golden Gate Ave at Hyde St,7394,37.7816495,-122.4154077
155,O'Farrell St at Divisadero St,7376,37.7824046019,-122.4394458532
156,Lakeshore Ave at Trestle Glen Rd,7357,37.8110807,-122.2432677
157,Salesforce Transit Center (Natoma St at 2nd St),7355,37.7874921044,-122.3982846737
158,College Ave at Alcatraz Ave,7155,37.8513755,-122.2525233
159,Valencia St at Clinton Park,7126,37.7691881781,-122.42228508
160,Genoa St at 55th St,7074,37.8396488,-122.2717561
161,Duboce Park,6968,37.7692005,-122.4338119
162,Julian St at The Alameda,6933,37.3322326,-121.9125165
163,24th St at Chattanooga St,6863,37.7518194,-122.4266139
164,Koshland Park,6833,37.77341397,-122.4273169041
165,Jersey St at Castro St,6759,37.750506,-122.4339496
166,Franklin Square,6673,37.764555,-122.410345
167,Bryant St at 6th St,6669,37.7759102223,-122.4025750067
168,Channing Way at Shattuck Ave,6667,37.8658466,-122.2674431
169,23rd St at Tennessee St,6636,37.7553671322,-122.3887950182
170,Haste St at College Ave,6601,37.8664179405,-122.2537994385
171,Washington St at 8th St,6579,37.8007544,-122.2748943
172,Mosswood Park,6516,37.8249311,-122.2604787
173,North Berkeley BART Station,6512,37.8740141,-122.283019
174,49th St at Telegraph Ave,6481,37.8359455,-122.2623663
175,The Alameda at Bush St,6459,37.3319323,-121.9048882
176,Paseo De San Antonio at 2nd St,6232,37.333798,-121.886943
177,Vine St at Shattuck Ave,6148,37.8802224459,-122.2695922852
178,San Pedro Square,6025,37.336802,-121.8940901
179,Eureka Valley Recreation Center,6013,37.7591769,-122.4369431
180,14th St at Mandela Pkwy,6000,37.8107432,-122.2914153
181,Sanchez St at 17th St,5915,37.7632417,-122.4306746
182,Snow Park,5866,37.8078131822,-122.264496088
183,45th St at Manila,5832,37.8332935222,-122.2562241554
184,Shattuck Ave at Hearst Ave,5636,37.8737917,-122.2686176
185,Milvia St at Derby St,5499,37.8601245991,-122.269384414
186,65th St at Hollis St,5485,37.8467842,-122.2913761
187,Berry St at King St,5484,37.7717621103,-122.3984375596
188,Webster St at 19th St,5461,37.806969761,-122.2665882111
189,Ninth St at Heinz Ave,5457,37.8534894,-122.2894154
190,Scott St at Golden Gate Ave,5367,37.7789994,-122.4368608
191,Colin P Kelly Jr St at Townsend St (Temporary Site),5341,37.7813828196,-122.3898410797
192,Woolsey St at Sacramento St1,5265,37.850577684,-122.278175354
193,Telegraph Ave at Carleton St,5176,37.8623199,-122.258801
194,Mission Rock St at 3rd St,5116,37.7728857923,-122.3899403214
195,Shattuck Ave at Telegraph Ave,5083,37.8332786,-122.2634901
196,13th St at Franklin St,5052,37.8031890811,-122.2705793381
197,30th St at San Jose Ave,5007,37.7423139,-122.4231805
198,Jersey St at Church St,4997,37.7509004,-122.4274114
199,Potrero Ave and Mariposa St,4972,37.7632809406,-122.4073773623
200,Fountain Alley at S 2nd St,4957,37.3361883003,-121.8892765045
201,California St at University Ave,4906,37.8705553291,-122.2797203064
202,Franklin St at 9th St,4819,37.8005161,-122.2720799
203,Telegraph Ave at Alcatraz Ave,4483,37.8502218745,-122.2601723671
204,12th St at 4th Ave,4440,37.7958125,-122.2555549
205,Jack London Square,4429,37.796248,-122.279352
206,5th St at San Salvador St,4426,37.332038681,-121.8817663193
207,San Jose City Hall,4360,37.337391,-121.886995
208,Ninth St at Parker St,4302,37.8588682,-122.2912095
209,Folsom St at 13th St,4246,37.769757,-122.415674
210,Lombard St at Columbus Ave,4223,37.8027461525,-122.4135786295
211,Adeline St at 40th St,4175,37.8312769,-122.2782669
212,Channing Way at San Pablo Ave,4167,37.8628271,-122.2902305
213,Horton St at 40th St,4112,37.8297046,-122.2876102
214,34th St at Telegraph Ave,4078,37.8225475,-122.2663179
215,College Ave at Harwood Ave,4077,37.848152,-122.2521599
216,Dover St at 57th St,3960,37.8426295,-122.267738
217,Shattuck Ave at 55th St,3891,37.8403643,-122.2644881
218,Morrison Ave at Julian St,3879,37.3336577,-121.9085859
219,DeFremery Park,3876,37.8123315,-122.2851712
220,Emeryville Public Market,3831,37.8405211669,-122.2935283184
221,Market St at Brockhurst St,3827,37.8233214,-122.2757325
222,59th St at Horton St,3794,37.8409452,-122.2913604
223,Shafter Ave at Cavour St,3779,37.8379469,-122.2572427
224,32nd St at Adeline St,3750,37.8238474,-122.2811926
225,Ellsworth St at Russell St,3739,37.8574902146,-122.2615778446
226,Jackson St at 11th St,3653,37.8000016312,-122.2664380074
227,9th St at San Fernando,3625,37.3383952,-121.8807965
228,2nd St at Julian St,3544,37.3411320355,-121.8928438425
230,24th St at Market St,3430,37.8160598,-122.2782444
229,West St at 40th St,3430,37.8302232,-122.2709501
231,San Carlos St at 11th St,3335,37.3364659,-121.8766132
232,Santa Clara St at Almaden Blvd,3333,37.333988,-121.894902
233,Santa Clara St at 7th St,3267,37.3391456,-121.8841054
234,55th St at Telegraph Ave,3206,37.8401858,-122.2618225
235,Union St at 10th St,3175,37.8072393,-122.2893702
236,Almaden Blvd at San Fernando St,3173,37.331415,-121.8932
237,Cesar Chavez St at Dolores St,3145,37.7478584,-122.4249863
238,Fulton St at Ashby Ave,3083,37.8555736618,-122.2635653615
239,Cahill Park,3080,37.3291186681,-121.9045758247
240,San Salvador St at 1st St,3066,37.330165,-121.885831
241,47th St at San Pablo Ave,3035,37.8356322046,-122.2810506821
242,MacArthur Blvd at Telegraph Ave,2975,37.8262863,-122.2651002
243,Stanford Ave at Hollis St,2880,37.8384435,-122.2886647
244,Pierce Ave at Market St,2876,37.327581,-121.884559
245,Emeryville Town Hall,2839,37.8312752,-122.2856333
246,Autumn Parkway at Coleman Ave,2789,37.3413348,-121.9031829
247,MLK Jr Way at 14th St,2742,37.8061628,-122.2760402
248,Virginia St at Shattuck Ave,2741,37.8765725491,-122.2695279121
249,San Pablo Ave at MLK Jr Way,2627,37.8113514,-122.2734217
250,Doyle St at 59th St,2607,37.8419238,-122.2880451
251,S. 4th St at San Carlos St,2606,37.3328357797,-121.8839120865
252,Jackson St at 5th St,2598,37.3487586867,-121.8947978318
253,Bushrod Park,2579,37.8465156,-122.2653043
254,College Ave at Taft Ave,2439,37.8417999,-122.2515349
255,Julian St at 6th St,2417,37.3429973,-121.8888891
256,Alcatraz Ave at Shattuck Ave,2406,37.8495949678,-122.2655689716
257,Harmon St at Adeline St,2401,37.849735,-122.270582
258,Fruitvale BART Station,2395,37.7752321,-122.2244982
259,William St at 10th St,2390,37.3327938,-121.8759263
260,23rd St at San Bruno Ave,2364,37.7544356,-122.4043639
261,Market St at 45th St,2343,37.834174,-122.272968
262,Turk St at Fillmore St,2278,37.78045006,-122.4319463968
263,San Carlos St at Market St,2241,37.330698,-121.888979
264,Market St at Park St,2225,37.3324263013,-121.8903493881
265,12th St at 6th Ave,2205,37.7943532,-122.2538745
266,12th St at 6th Ave,2205,37.7958125,-122.2555549
267,San Pablo Park,2165,37.8557833203,-122.2831267118
268,Broadway at Coronado Ave,2112,37.8357883,-122.2516207
269,Shattuck Ave at 51st St,2103,37.8368013,-122.2640037
270,14th St at Filbert St,2048,37.8087498347,-122.28328228
271,Telegraph Ave at 58th St,2028,37.8444927,-122.261351
272,10th St at University Ave,1982,37.8690604755,-122.2933995724
273,Isabella St at San Pablo Ave,1978,37.8149882304,-122.2748440504
274,Marston Campbell Park,1903,37.8098236,-122.2801923
275,Fell St at Stanyan St,1899,37.7719168826,-122.4537044764
276,College Ave at Bryant Ave,1880,37.8381269,-122.2512714
277,5th St at Taylor St,1879,37.3510173,-121.8959209
278,Saint James Park,1860,37.339301,-121.889937
279,37th St at West St,1858,37.8266962,-122.2717955
280,Myrtle St at Polk St,1844,37.7854338279,-122.4196216464
281,Madison St at 17th St,1736,37.804036784,-122.2624093294
282,San Pablo Ave at 27th St,1653,37.8178269,-122.2756976
283,Market St at 40th St,1557,37.8305452,-122.2739367
284,45th St at MLK Jr Way,1536,37.8335577,-122.2674183
285,SAP Center,1526,37.332692,-121.900084
286,Jones St at Post St,1499,37.7873267661,-122.4132782221
287,Fifth St at Delaware St,1438,37.8704071155,-122.2996759415
288,West St at University Ave,1398,37.8699667076,-122.2865331173
289,Market St at 8th St,1364,37.8036865,-122.282497
290,San Antonio Park,1357,37.7901398519,-122.2423732281
291,53rd St at Hollis St,1342,37.8361823,-122.2871801
292,Foothill Blvd at Fruitvale Ave,1341,37.7837569,-122.2226033
293,10th Ave at E 15th St,1314,37.7927143,-122.2487796
294,Bestor Art Park,1284,37.3236779,-121.8741186
295,Empire St at 1st St,1215,37.3448821,-121.8969655
296,Hyde St at Post St,1215,37.7873490232,-122.4166510999
297,Locust St at Grant St,1152,37.3229796,-121.8879312
298,George St at 1st St,1136,37.3477319,-121.899464
299,Mission St at 1st St,1101,37.3509643,-121.9020161
300,23rd St and San Bruno Ave,1071,37.7544356348,-122.4043639004
301,27th St at MLK Jr Way,1041,37.8170154,-122.2717615
302,Grove St at Masonic Ave,948,37.7748362941,-122.4465456605
303,Almaden Blvd at Balbach St,912,37.32673,-121.8892731
304,Delmas Ave and San Fernando St,857,37.3302641,-121.8977018
305,23rd Ave at Foothill Blvd,804,37.7851915,-122.2343822
306,San Pedro St at Hedding St,684,37.352601,-121.905733
307,Potrero del Sol Park (25th St at Utah St),573,37.7517916453,-122.4052155018
308,Foothill Blvd at Harrington Ave,539,37.77993,-122.2177284
309,26th Ave at International Blvd,522,37.781123,-122.2329915
310,20th St at Dolores St,426,37.7582384242,-122.4260938168
311,Outside Lands 2018 (Temporary Station),402,37.771104,-122.473658
314,Tamien Station,363,37.3128540429,-121.8829411268
312,Oak St at 1st St,363,37.3221246254,-121.8810904026
313,Farnam St at Fruitvale Ave,363,37.7776818,-122.225771
315,W St John St at Guadalupe River Trail,349,37.3353879,-121.8979205
316,Guerrero Park,334,37.7457387962,-122.4221402407
317,Foothill Blvd at 42nd Ave,324,37.7757452,-122.2130372
318,Palm St at Willow St,314,37.3172979,-121.884995
319,Lane St at Revere Ave,305,37.7317266935,-122.3900556564
320,Newhall St at 3rd St,264,37.7385718713,-122.3896177858
321,21st Ave at International Blvd,251,37.7851566,-122.2389151
322,Empire St at 7th St,241,37.3477445655,-121.8907999992
323,16th St Depot,228,37.766349,-122.396289
324,Mendell St at Fairfax Ave,217,37.739853018,-122.3856554925
325,Laguna St at McAllister St,211,37.7792082,-122.4268287
326,Masonic Ave at Turk St,191,37.7790466585,-122.4472913146
327,Willow St at Vine St,176,37.3184498,-121.8831724
328,Williams Ave at Apollo St,174,37.7301675082,-122.3989632726
329,Williams Ave at 3rd St,105,37.7292521344,-122.3923784494
330,2nd St at S Park St,44,37.7824111897,-122.3927059584
331,Viva Calle SJ,40,37.26331,-121.833332
